Datum,Zeit,Ort,Reh,Ricke,Rehbock,Kitz,Hase,Ricke_und_Kitz,Fuchs,Keiler,Bache,Frischlinge,Wildschwein
23/10/2017,07:45:00,Forstberg,0,3,1,0,0,0,0,0,0,0,0
23/10/2017,07:45:00,Annaberg,0,0,0,0,0,0,1,0,0,0,0
23/10/2017,07:45:00,Hochmess,0,0,0,0,2,0,0,0,0,0,0
23/10/2017,17:30:00,Harmsen,0,0,0,0,1,0,0,0,0,0,0
23/10/2017,17:30:00,Rehland,0,0,0,0,1,0,0,0,0,0,0
24/10/2017,07:50:00,Ziegenmann_II,0,0,0,0,0,0,0,0,1,4,2
24/10/2017,07:50:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
24/10/2017,07:50:00,Hochmess,0,1,0,0,0,0,0,0,0,0,0
24/10/2017,07:50:00,Rehland,0,1,0,0,0,2,0,0,0,0,0
03/11/2017,07:40:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
03/11/2017,16:15:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
04/11/2017,08:50:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
04/11/2017,08:50:00,Grundstueck_mit_Schlagbaum,0,2,0,0,0,0,0,0,0,0,0
04/11/2017,15:30:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
05/11/2017,16:00:00,Forstberg,0,0,0,0,0,1,0,0,0,0,0
05/11/2017,16:00:00,Rehland,0,0,0,0,1,0,0,0,0,0,0
